"代码","名称","备注","涨幅","时间"
"111","****","主营药品制剂、原料药、药用辅料及植物提取物四大类","0.34%","20250807"
"111","****","在电动工具用粉末冶金零件领域内，海昌新材长期排名在全国行业前","6.76%","20250807"
"111","****","国内最早从事细胞工程、基因工程的生物制药企业之一","-1.44%","20250807"
"111","****","国内塑料空调风叶的龙头企业，拥有国内顶尖的塑料空调风叶研发能","4.88%","20250807"
"111","****","国内销售规模最大的智能燃气表制造商和系统供应商之一。","-0.54%","20250807"
"111","****","公司是行业内兼具研发实力和规模化生产的高压清洁机主要供应商之","-0.83%","20250807"
"111","****","旗下“高飞漆”为中国修补漆主流市场领先品牌","-0.11%","20250807"
"111","****","国内规模较大的十字轴万向节总成生产企业","-1.19%","20250807"
"111","****","高温合金迎来拐点，精铸叶片、粉末涡轮盘切入多个航发型号，业绩","10.01%","20250808"
"111","****","从事医疗诊断、监护设备的研产销，产品涵盖血氧类、心电类、超声","-8.63%","20250808"
"111","****","数字化X射线平板探测器行业内全球知名、国内领先的企业之一","1.73%","20250808"
"111","****","第二代居民身份证材料指定生产企业，中高档智能卡基材行业龙头","11.12%","20250808"
"111","****","第二代居民身份证材料指定生产企业，中高档智能卡基材行业龙头","11.12%","20250808"
"111","****","第二代居民身份证材料指定生产企业，中高档智能卡基材行业龙头","11.12%","20250808"
"111","****","从事医疗诊断、监护设备的研产销，产品涵盖血氧类、心电类、超声","-8.63%","20250808"
"111","****","数字化X射线平板探测器行业内全球知名、国内领先的企业之一","1.73%","20250808"
"111","****","主营药品制剂、原料药、药用辅料及植物提取物四大类","0.0%","20250808"
